Wrong,Correct
الاجراءات,الإجراءات
الغاء,إلغاء
اضافه,إضافة
تسلسل رقمى,تسلسل رقمي
مركز التكلفه الرئيسي,مركز التكلفة الرئيسي
تفصيلى,تفصيلي
كود اليومية المعكوس,كود اليومية المعكوسة
العمليات,رصيد الحركات
لا يمكن التوزيع لنفس مركز التكلفة اكثر من مرة,لا يمكن التوزيع على نفس مركز التكلفة أكثر من مرة
البريد الالكترونى,البريد الإلكتروني
تذكرنى,تذكرني
كلمة السر,كلمة المرور 
تسجيل الدخول MicroTec,تسجيل الدخول إلى MicroTec
البريد الالكترونى,البريد الإلكتروني
تذكرنى,تذكرني
كلمة السر,كلمة المرور
تسجيل الدخول MicroTec,تسجيل الدخول إلى MicroTec
حدث خطاء فى المسح,حدث خطأ في المسح
حدث خطاء فى التحميل,حدث خطأ في التحميل
اجراءات,إجراءات
هل انت متاكد؟,هل أنت متأكد؟
لا يمكنك الرجوع فى هذا القرار,لا يمكنك الرجوع في هذا القرار
"نعم, قم بالمسح!",نعم، قم بالمسح!
الغاء,إلغاء
تفعيل او الغاء تفعيل,تفعيل أو إلغاء تفعيل
الغاء التفعيل,إلغاء التفعيل
اعادة الارسال,إعادة الإرسال
اخر ميعاد للدخول,آخر موعد للدخول
افعال,أفعال
بنجاح,بنجاح
بريد الالكترونى للدخول,البريد الإلكتروني للدخول
ادخل البريد الالكترونى,أدخل البريد الإلكتروني
دوماين سبايس,اسم النطاق
التحكم فى الاجرائات,التحكم في الإجراءات
ارسل دعوه,أرسل دعوة
تم ارسال الدعوة بنجاح,تم إرسال الدعوة بنجاح
تم تعديل البياتات بنجاح,تم تعديل البيانات بنجاح
رقم التليفون,رقم الهاتف
تم تعطيل الشركة بنجاح,تم إلغاء تفعيل الشركة بنجاح
تم تنشيط الشركة بنجاح,تم تفعيل الشركة بنجاح
شركة الام,الشركة الأم
رمز الهاتف المحمول,رمز البلد
رقم الهاتف المحمول,رقم الجوال
تم الحذف من السلة بنجاح,تم إزالة العنصر من السلة بنجاح
موقف الاتصال الشخصي,منصب جهة الاتصال
بريد الكتروني للاتصال الشخصي,البريد الإلكتروني لجهة الاتصال الشخصية
إضافة مساحة النطاق,إضافة نطاق فرعي
تمت إضافة النطاق الفرعي بنجاح,تم إضافة النطاق الفرعي بنجاح
أضف إلى السلة,أضف للسلة
مستوي الحساب,مستوى الحساب
حساب تفصيلى,حساب تفصيلي
تم الحذف من السلة بنجاح,تمت إزالة العنصر من السلة بنجاح
لا توجد بيانات حساب مصرفي متاحة للطباعة. الرجاء تصفية السجلات أو تحديدها.,لا توجد بيانات حساب مصرفي للطباعة. يرجى تصفية السجلات أو تحديدها.
رمز المستند المصدر,كود المستند المصدر
غير مسموح,غير مسموح به
مفعل,مُفعّل
الاميل,البريد الإلكتروني
كلمة السر,كلمة المرور
تذكرنى,تذكرني
خطاء,خطأ
اجراءات,إجراءات
الغاء,إلغاء
الغاء التفعيل,إلغاء التفعيل
اعادة الارسال,إعادة الإرسال
اخر ميعاد للدخول,آخر موعد للدخول
موقف الاتصال الشخصي,منصب جهة الاتصال
بريد الكتروني للاتصال الشخصي,البريد الإلكتروني لجهة الاتصال
دوماين سبايس,مساحة النطاق
التحكم فى الاجرائات,التحكم في الإجراءات
مدير مفوّض,مستخدم تم تفويضه
تنشيط,تفعيل
تعطيل,إلغاء التفعيل
تعديل معلومات المستخدم,تعديل بيانات المستخدم
اختر نطاقك:,اختر نطاقك
مستوي الحساب,مستوى الحساب
بيانات الحساب التفصيلي,تفاصيل الحساب
الرابط مع مركز التكلفة,الربط مع مركز التكلفة
نشط دوريًا,نشط بشكل دوري
المنطقة البريدية,الرمز البريدي
لا توجد بيانات حساب مصرفي متاحة للطباعة. الرجاء تصفية السجلات أو تحديدها.,لا توجد بيانات حساب مصرفي للطباعة. يرجى تصفية أو تحديد السجلات.
